id;prenom;nom;email;phone_number;commissions;evaluation;est_dg;est_menbre_ca
1;Reduced Languedoc-Roussillon;index Cambridgeshire Borders;"l`3\n@7o[+:.nc";out-of-the-box;36794;25877;false;true
2;Coordinateur navigating Shoes;Soft a;"J'BN4@S'?+.n";b;56383;6501;true;false
3;transmitting Granite Frozen;impactful Card Executif;"'H]@0%:t.}";Account;77759;13156;false;false
4;hacking a;Account Érythrée;"#oA+@C>e.n`*";Granite;97743;94560;true;true
5;enterprise hack a;Nord-Pas-de-Calais global;"%.%GXq@K9.8R<y\E";SMS moderator;69227;78117;false;true
6;Kids Soft Congolese;Charron;"Bq@MrvB.=t2";Faubourg;75729;29210;true;false
7;olive Account niches;b microchip;"Iv@JvDG.#Xi";discrete expedite;44335;39790;true;true
8;Pizza;SMS;"3@'=u}.)vz/Fe";redundant;92086;3479;true;true
9;target budgetary 24/7;hacking;"b@)K.t:8";reboot Specialiste Account;23012;52381;true;true
10;Executif Concrete;Concrete Bedfordshire Cotton;"u(B|@oG3Z:3.E";Wooden embrace orchid;50370;24700;true;false
