id;prenom;nom;email;phone_number;commissions;est_dg;est_menbre_ca
1;impactful;Plastic Pound;"nD@Y.#W8";Hat;250;true;false
2;sexy;Molière;"He!@J.3lq";Synchronised Borders extensible;5220;false;false
3;Awesome;a Ingenieur;"XDQ@!Tj.Q";bus USB;66361;false;false
4;Gloves;Intelligent Pizza open-source;"U*5a@-aF.L!Fa";unleash Won;11992;true;false
5;Soft;Bike quantify Superviseur;">@(?hs.^v{ul";Compatible Cotton Samoa;88999;false;false
6;index;innovate Libye JSON;"h@d2:.%f.Xrg9L";Dominique content virtual;51052;true;true
7;Monitored sticky Solférino;Personal concept Île-de-France;"l9M@lG_f;T.R12";Small Awesome;78047;true;true
8;Pound;5th deposit online;"]F(#J[@cSU.p+z9";Chicken;64941;false;true
9;holistic Money magenta;overriding Bedfordshire;"D0b@(JMR.`Yz";Australie knowledge;35347;true;true
10;online;Loan;"gpRm@OJb.|'.-?";Dollar Home;50743;false;false
